Year,Global , Ryiadh,AVG Global,AVG Ryiadh
1900,8.5,25.29,,
1901,8.54,25.55,,
1902,8.3,25.25,,
1903,8.22,24.64,,
1904,8.09,25.07,,
1905,8.23,24.87,,
1906,8.38,24.85,,
1907,7.95,24.44,,
1908,8.19,24.95,,
1909,8.18,25.57,,
1910,8.22,24.75,8.254545455,25.02090909
1911,8.18,24.24,,
1912,8.17,24.96,,
1913,8.3,24.63,,
1914,8.59,24.94,,
1915,8.59,25.38,,
1916,8.23,24.85,,
1917,8.02,25.03,,
1918,8.13,24.66,,
1919,8.38,25.39,,
1920,8.36,24.94,8.288181818,24.88818182
1921,8.57,24.84,,
1922,8.41,25.35,,
1923,8.42,25.1,,
1924,8.51,25.69,,
1925,8.53,25,,
1926,8.73,25.19,,
1927,8.52,25.29,,
1928,8.63,25.39,,
1929,8.24,25.36,,
1930,8.63,25.39,8.504545455,25.23090909
1931,8.72,25.38,,
1932,8.71,24.96,,
1933,8.34,24.67,,
1934,8.63,24.97,,
1935,8.52,25.61,,
1936,8.55,25.15,,
1937,8.7,25.08,,
1938,8.86,25.11,,
1939,8.76,25.16,,
1940,8.76,25.51,8.652727273,25.18090909
1941,8.77,25.37,,
1942,8.73,25.49,,
1943,8.76,24.96,,
1944,8.85,25.6,,
1945,8.58,25.3,,
1946,8.68,25.49,,
1947,8.8,26,,
1948,8.75,24.85,,
1949,8.59,24.82,,
1950,8.37,24.98,8.694545455,25.30636364
1951,8.63,26.1,,
1952,8.64,25.72,,
1953,8.87,25.51,,
1954,8.56,25.8,,
1955,8.63,25.33,,
1956,8.28,25.02,,
1957,8.73,24.69,,
1958,8.77,25.64,,
1959,8.73,24.14,,
1960,8.58,25.67,8.617272727,25.32727273
1961,8.8,25.12,,
1962,8.75,26.1,,
1963,8.86,25.54,,
1964,8.41,25.14,,
1965,8.53,25.59,,
1966,8.6,26.16,,
1967,8.7,24.87,,
1968,8.52,25.21,,
1969,8.6,26.05,,
1970,8.7,25.84,8.640909091,25.57181818
1971,8.6,24.93,,
1972,8.5,24.74,,
1973,8.95,25.6,,
1974,8.47,25.4,,
1975,8.74,25.04,,
1976,8.35,24.97,,
1977,8.85,25.99,,
1978,8.69,25.95,,
1979,8.73,26.2,,
1980,8.98,25.83,8.687272727,25.49909091
1981,9.17,25.95,,
1982,8.64,24.62,,
1983,9.03,24.85,,
1984,8.69,25.05,,
1985,8.66,25.3,,
1986,8.83,25.36,,
1987,8.99,26.37,,
1988,9.2,25.99,,
1989,8.92,25.05,,
1990,9.23,25.7,8.94,25.46090909
1991,9.18,25.43,,
1992,8.84,24.37,,
1993,8.87,25.42,,
1994,9.04,26.08,,
1995,9.35,25.64,,
1996,9.04,26.28,,
1997,9.2,25.49,,
1998,9.52,26.73,,
1999,9.29,26.92,,
2000,9.2,26.55,9.16,25.87363636
2001,9.41,26.67,,
2002,9.57,26.44,,
2003,9.53,26.62,,
2004,9.32,26.2,,
2005,9.7,26.27,,
2006,9.53,26.24,,
2007,9.73,26.49,,
2008,9.43,26.21,,
2009,9.51,26.71,,
2010,9.7,27.37,9.511818182,26.52454545
2011,9.52,26.4,,
2012,9.51,26.83,,
2013,9.61,27.78,,
2014,9.57,,,
2015,9.83,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,8.658,25.466
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,8.911,25.437
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,9.156,25.806
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,9.493,26.44
